"","region","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"24","CHL",12.77355135,12.93740921,13.10336903,13.27145776,13.44170272,13.61413157,14.15487507,14.71709652,15.301649,15.90941948,16.54133017,17.14544938,17.77163212,18.42068418,19.09344079,19.79076769,20.38028528,20.98736313,21.61252431,22.25630748,22.91926735,23.49047503,24.07591869,24.67595312,25.29094197,25.92125794,26.4931954,27.07775233,27.67520716,28.28584449,28.90995518,29.53359838,30.17069477,30.82153455,31.4864142,32.16563657,32.84626581,33.54129726,34.25103567,34.97579224,35.71588475,36.42842892,37.15518858,37.89644734,38.65249448,39.42362501
"25","CHM",4.802723987,5.258109449,5.756673723,6.302510945,6.900103449,7.554358576,8.152042307,8.797013421,9.493013187,10.24407888,11.05456718,11.87193195,12.74973193,13.69243565,14.70484204,15.79210485,16.6845918,17.62751743,18.62373226,19.67624794,20.78824629,21.66055712,22.56947162,23.51652576,24.50331992,25.53152168,26.33392579,27.16154783,28.01518035,28.89564083,29.80377239,30.59332489,31.40379397,32.23573375,33.08971303,33.96631567,34.75356143,35.55905338,36.38321442,37.22647724,38.08928458,38.83061715,39.5863783,40.35684885,41.14231508,41.94306886
"26","CHP",37.45838003,37.63985353,37.82220622,38.00544235,38.18956619,38.37458206,38.85270919,39.33679354,39.82690932,40.32313169,40.82553672,41.44025622,42.0642317,42.69760251,43.34051014,43.99309817,44.52280711,45.05889412,45.60143602,46.15051052,46.70619627,47.19421932,47.68734163,48.18561646,48.68909766,49.19783963,49.73080021,50.26953436,50.81410462,51.36457422,51.92100705,52.59874978,53.28533932,53.98089115,54.68552226,55.39935116,56.19035302,56.99264895,57.80640021,58.63177035,59.46892527,60.32837065,61.20023674,62.08470304,62.98195165,63.89216731
"27","CIV",1.66239068,1.668736531,1.675106606,1.681500997,1.687919797,1.6943631,1.739577884,1.785999243,1.833659376,1.882591339,1.932829072,2.050803493,2.17597874,2.30879433,2.449716609,2.599240384,2.794663115,3.004778616,3.230691558,3.473589664,3.734749956,3.998931237,4.281799645,4.584677034,4.908978759,5.256220291,5.583114736,5.930339375,6.299158583,6.690915366,7.107036256,7.506356092,7.92811233,8.373565597,8.844047344,9.340963837,9.822275982,10.32838871,10.86057993,11.42019339,12.00864206,12.57027287,13.15817053,13.77356351,14.41773773,15.09203927
"28","CMR",1.991939963,2.004994893,2.018135383,2.031361995,2.044675292,2.058075843,2.111105552,2.165501658,2.221299369,2.278534801,2.337244997,2.421175505,2.508119959,2.598186589,2.691487515,2.788138877,2.905719204,3.028258084,3.155964626,3.28905676,3.427761604,3.576812283,3.73234419,3.894639151,4.063991246,4.240707344,4.419216853,4.605240592,4.799094865,5.001109293,5.211627373,5.430980363,5.659565734,5.897772071,6.146004311,6.404684436,6.671718726,6.949886634,7.239652361,7.541499462,7.855931653,8.177040801,8.511275202,8.859171346,9.221287654,9.598205372
"29","COD",0.275449624,0.28320404,0.291176758,0.299373921,0.307801851,0.316467042,0.330418114,0.344984203,0.360192421,0.376071075,0.392649721,0.415225268,0.439098806,0.464344962,0.491042655,0.519275342,0.560047092,0.604020102,0.651445724,0.702595047,0.757760441,0.814512246,0.875514427,0.941085313,1.011567073,1.087327502,1.160978486,1.239618278,1.323584797,1.413238855,1.508965701,1.607604328,1.712690801,1.824646605,1.943920778,2.070991708,2.201487217,2.340205393,2.487664358,2.644414877,2.811042422,2.979183385,3.157381609,3.346238662,3.546392095,3.758517597
"30","COG",3.3683708,3.452064623,3.537837985,3.625742555,3.715831288,3.808158453,4.016978223,4.237248593,4.469597455,4.714687129,4.973216258,5.157852531,5.349343634,5.547944061,5.753917754,5.967538452,6.210736767,6.463846273,6.727270889,7.001430989,7.286764084,7.558381314,7.840123192,8.132367119,8.435504562,8.749941582,9.048772929,9.357810078,9.677401582,10.0079079,10.34970179,10.69155167,11.04469282,11.4094982,11.78635307,12.17565543,12.568574,12.97417239,13.39285977,13.82505854,14.27120473,14.71997347,15.18285408,15.66029031,16.15273989,16.66067491
"31","COL",7.358110673,7.569819597,7.787619849,8.011686691,8.242200425,8.479346543,8.765133516,9.060552622,9.365928501,9.681596735,10.00790422,10.30522307,10.61137479,10.92662179,11.25123428,11.58549048,11.83318955,12.08618445,12.34458841,12.60851708,12.87808857,13.18257943,13.49426972,13.81332964,14.13993344,14.47425951,14.81920731,15.17237584,15.53396102,15.90416342,16.28318842,16.67738087,17.08111616,17.49462529,17.91814487,18.35191726,18.78927576,19.23705729,19.69551024,20.16488893,20.64545374,21.13278137,21.63161219,22.1422177,22.66487585,23.19987113
"32","CRB",18.6494398,18.02520277,17.42186031,16.83871301,16.27508492,15.73032268,16.01385907,16.30250616,16.59635606,16.89550256,17.20004112,17.57620088,17.96058714,18.35337981,18.75476274,19.16492379,19.55091399,19.94467821,20.34637302,20.75615814,21.17419652,21.5589449,21.95068439,22.34954203,22.75564717,23.16913149,23.56602506,23.96971753,24.38032537,24.79796702,25.222763,25.62908781,26.04195828,26.46147988,26.88775973,27.32090672,27.72587797,28.13685202,28.55391783,28.97716571,29.40668729,29.80623757,30.21121655,30.62169801,31.0377567,31.45946841
"33","CRI",9.139125902,9.387884424,9.643413922,9.905898695,10.17552806,10.45249649,10.76798955,11.09300531,11.42783118,11.77276327,12.12810663,12.50563989,12.89492531,13.2963287,13.7102273,14.13701007,14.51905017,14.91141457,15.31438226,15.7282398,16.15328147,16.52818067,16.91178085,17.30428396,17.70589661,18.11683024,18.50631628,18.90417572,19.31058856,19.72573871,20.14981399,20.57107822,21.00114966,21.44021244,21.88845453,22.34606784,22.79241981,23.24768745,23.71204885,24.18568564,24.66878309,25.13295601,25.6058629,26.0876681,26.57853905,27.07864633
"34","CUB",9.699994223,8.735865719,7.867566527,7.085571717,6.381303085,5.747035058,5.946340427,6.152557642,6.365926406,6.586694732,6.815119234,6.981208602,7.151345688,7.325629137,7.50416,7.687041788,7.878851209,8.075446718,8.276947738,8.483476673,8.695158982,8.894886195,9.099201129,9.308209162,9.522018097,9.740738208,9.960526452,10.18527396,10.41509263,10.65009688,10.89040373,11.15986143,11.43598624,11.71894312,12.0089011,12.30603342,12.64382213,12.99088282,13.34746998,13.71384512,14.09027691,14.47541478,14.87107985,15.27755987,15.69515044,16.12415527
"35","CYP",17.94203328,18.13106405,18.32208638,18.51512125,18.71018987,18.90731366,18.66973444,18.43514051,18.20349436,17.97475895,17.74889772,17.87396915,17.99992192,18.12676225,18.25449638,18.38313062,18.53280585,18.68369972,18.83582218,18.98918321,19.14379291,19.35044034,19.55931842,19.77045124,19.98386313,20.19957869,20.44426267,20.69191059,20.94255835,21.19624229,21.45299918,21.73248899,22.01562,22.30243965,22.59299598,22.88733768,23.17926492,23.47491569,23.77433747,24.07757836,24.38468708,24.68090387,24.98071899,25.28417617,25.59131964,25.90219418
"36","CZE",21.33202895,21.78512108,22.24783689,22.72038078,23.2029615,23.69579223,24.23988841,24.79647797,25.36584779,25.94829132,26.54410876,27.32532517,28.12953345,28.9574103,29.80965228,30.6869765,31.52309832,32.38200177,33.2643076,34.17065344,35.10169429,36.04166837,37.00681364,37.99780415,39.01533198,40.06010779,41.07483549,42.11526638,43.18205151,44.27585845,45.39737167,46.41437907,47.45416983,48.51725433,49.60415441,50.7154036,51.63889671,52.579206,53.53663768,54.51150354,55.50412105,56.45819052,57.42865964,58.41581032,59.41992929,60.44130823
"37","DEU",31.40327822,31.7427778,32.08594769,32.43282757,32.78345756,33.1378782,33.75603561,34.38572418,35.02715904,35.68055928,36.34614812,36.81737878,37.29471897,37.77824793,38.26804587,38.76419408,39.17545953,39.59108828,40.0111266,40.43562128,40.8646196,41.25800135,41.65516997,42.05616192,42.46101401,42.86976339,43.35255245,43.84077857,44.33450298,44.83378759,45.33869503,45.97636656,46.62300669,47.27874158,47.94369912,48.61800904,49.29749088,49.98646911,50.68507645,51.39344748,52.11171865,52.79870212,53.49474203,54.19995776,54.91447028,55.63840215
"38","DJI",1.850946029,1.901860175,1.95417482,2.00792849,2.063160767,2.119912323,2.183859106,2.249734833,2.31759769,2.387507618,2.459526366,2.565254115,2.675526786,2.790539753,2.910496786,3.035610416,3.188284794,3.348637846,3.517055768,3.693944178,3.879729095,4.078083569,4.286579085,4.505734113,4.73609363,4.978230475,5.222539662,5.478838447,5.747715225,6.029787267,6.325702138,6.618784414,6.92544577,7.246315353,7.582051458,7.93334288,8.275582431,8.632585987,9.004990457,9.393460228,9.798688347,10.19241896,10.60197044,11.02797851,11.47110442,11.932036
"39","DNK",33.29649983,33.12787497,32.96010409,32.79318286,32.62710697,32.46187215,32.79804934,33.137708,33.48088419,33.82761433,34.17793523,34.61365371,35.05492696,35.50182579,35.95442192,36.412788,36.76351961,37.11762951,37.47515023,37.83611463,38.20055587,38.53918835,38.88082268,39.22548545,39.57320352,39.92400397,40.3265936,40.73324291,41.14399283,41.5588847,41.97796031,42.49661296,43.02167375,43.55322185,44.09133742,44.63610159,45.26921421,45.91130681,46.56250676,47.22294326,47.89274729,48.60548555,49.32883076,50.06294077,50.80797577,51.56409837
"40","DOM",6.427268791,6.77863184,7.149203046,7.540032472,7.952227587,8.386956399,8.666596226,8.955559869,9.254158203,9.562712472,9.881554628,10.20675625,10.54266025,10.88961883,11.24799581,11.61816696,11.93922782,12.26916099,12.60821166,12.95663178,13.31468028,13.65012867,13.99402829,14.34659209,14.70803833,15.0785908,15.43046945,15.79055964,16.15905301,16.53614566,16.92203826,17.31175042,17.71043759,18.11830647,18.53556851,18.96244004,19.38460329,19.81616521,20.25733505,20.70832671,21.16935885,21.62240442,22.08514562,22.55778995,23.04054934,23.53364027
"41","DZA",7.09956631,7.190185955,7.281962278,7.374910045,7.469044208,7.564379909,7.689404505,7.816495516,7.945687097,8.077013965,8.210511412,8.432895059,8.661302019,8.895895437,9.136842872,9.384316426,9.662698114,9.949337876,10.24448068,10.54837877,10.86129187,11.12633847,11.39785297,11.67599321,11.96092086,12.25280156,12.45352136,12.65752925,12.86487912,13.07562569,13.28982461,13.46060587,13.63358175,13.80878047,13.98623058,14.16596102,14.38351328,14.60440658,14.82869223,15.05642232,15.28764976,15.58531098,15.88876788,16.1981333,16.51352228,16.8350521
"42","ECU",6.496094224,6.631319095,6.769358852,6.91027209,7.054118626,7.20095952,7.396087275,7.596502497,7.802348465,8.013772336,8.230925259,8.422510322,8.618554766,8.81916239,9.024439407,9.234494502,9.475509059,9.722813946,9.976573336,10.23695569,10.50413386,10.78273867,11.06873301,11.36231287,11.66367946,11.9730393,12.28130549,12.5975085,12.92185271,13.2545477,13.59580849,13.95902731,14.3319497,14.71483491,15.10794908,15.51156549,15.93331772,16.3665372,16.81153571,17.26863352,17.73815961,18.21941561,18.71372862,19.22145289,19.74295228,20.27860054
"43","EGY",4.528861449,4.715727239,4.910303317,5.112907817,5.323872001,5.543540799,5.639803712,5.73773822,5.837373348,5.938738628,6.041864104,6.313793194,6.597961128,6.894918745,7.205241676,7.529531462,7.853843332,8.19212396,8.544975005,8.913024046,9.296925689,9.678186812,10.07508322,10.48825609,10.91837293,11.36612859,11.80548742,12.2618297,12.73581194,13.22811601,13.73945014,14.23730684,14.75320365,15.28779427,15.84175608,16.41579101,16.95833054,17.51880092,18.09779477,18.69592428,19.31382188,19.89736382,20.49853672,21.11787327,21.75592227,22.41324909
"44","ERI",0.589576319,0.568103317,0.547412385,0.527475039,0.508263832,0.489752318,0.497690709,0.505757773,0.513955595,0.522286297,0.53075203,0.52742621,0.52412123,0.52083696,0.51757327,0.514330031,0.524494688,0.534860228,0.545430621,0.556209916,0.567202241,0.581657412,0.596480974,0.611682316,0.627271063,0.643257091,0.661560056,0.680383805,0.699743157,0.719653352,0.740130063,0.765893047,0.792552808,0.820140561,0.848688608,0.878230377,0.914286741,0.951823425,0.990901204,1.031583348,1.073935726,1.123933108,1.176258132,1.231019162,1.288329608,1.348308157
"45","ETH",0.636625941,0.687087463,0.741548768,0.800326894,0.863764009,0.932229404,0.974838637,1.019395402,1.065988714,1.114711658,1.165661572,1.218427738,1.273582476,1.331233912,1.391495063,1.454484065,1.516255752,1.580650872,1.647780841,1.717761809,1.790714857,1.869955617,1.952702852,2.039111728,2.129344276,2.223569695,2.322466638,2.425762186,2.533651974,2.646340339,2.764040706,2.89592099,3.03409366,3.178858943,3.330531392,3.489440567,3.661119215,3.841244364,4.030231575,4.228516859,4.436557674,4.654581631,4.883319851,5.12329886,5.375071061,5.639216001
"46","FJI",4.336557165,4.299408197,4.262577464,4.22606224,4.189859823,4.153967533,4.204213701,4.255067644,4.306536713,4.35862835,4.411350084,4.482023032,4.55382821,4.626783758,4.700908105,4.776219977,4.894537411,5.015785827,5.140037831,5.26736783,5.397852072,5.554648654,5.715999857,5.882037983,6.052899177,6.22872354,6.416722944,6.610396669,6.809915981,7.015457315,7.227202432,7.457401073,7.694931931,7.94002855,8.192931911,8.453890672,8.730368008,9.015887301,9.31074426,9.615244267,9.929702688,10.25852523,10.59823674,10.94919781,11.31178097,11.68637109
"47","FNP",30.87311131,31.03732634,31.20241482,31.36838142,31.5352308,31.70296766,32.26974826,32.84666168,33.43388906,34.0316148,34.64002658,35.10875934,35.58383478,36.06533871,36.55335813,37.04798121,37.47573632,37.90843029,38.34612013,38.78886353,39.23671883,39.70379047,40.1764221,40.65467991,41.13863088,41.62834277,42.17738548,42.73366961,43.29729066,43.86834539,44.44693185,45.07819662,45.71842703,46.36775041,47.02629592,47.69419453,48.33572135,48.98587725,49.64477829,50.3125421,50.9892879,51.64436605,52.30786023,52.97987857,53.66053057,54.34992716
